id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
329;searchpage;requests;1598066194.6973433;-1.214414358139038;https://www.jobindex.dk/jobsoegning?lang=da?page=312.html;https://www.jobindex.dk/jobsoegning?lang=da?page=312.html;223722;200;True;
330;searchpage;requests;1598066196.5069253;-1.1153945922851562;https://www.jobindex.dk/jobsoegning?lang=da?page=313.html;https://www.jobindex.dk/jobsoegning?lang=da?page=313.html;223722;200;True;
331;searchpage;requests;1598066198.2328203;-1.3958392143249512;https://www.jobindex.dk/jobsoegning?lang=da?page=314.html;https://www.jobindex.dk/jobsoegning?lang=da?page=314.html;223722;200;True;
332;searchpage;requests;1598066200.319061;-1.6336596012115479;https://www.jobindex.dk/jobsoegning?lang=da?page=315.html;https://www.jobindex.dk/jobsoegning?lang=da?page=315.html;223722;200;True;
333;searchpage;requests;1598066202.5718515;-1.0905430316925049;https://www.jobindex.dk/jobsoegning?lang=da?page=316.html;https://www.jobindex.dk/jobsoegning?lang=da?page=316.html;223722;200;True;
334;searchpage;requests;1598066204.3017406;-1.011603832244873;https://www.jobindex.dk/jobsoegning?lang=da?page=317.html;https://www.jobindex.dk/jobsoegning?lang=da?page=317.html;223722;200;True;
335;searchpage;requests;1598066205.9163828;-1.190629243850708;https://www.jobindex.dk/jobsoegning?lang=da?page=318.html;https://www.jobindex.dk/jobsoegning?lang=da?page=318.html;223722;200;True;
336;searchpage;requests;1598066207.6959324;-0.9660036563873291;https://www.jobindex.dk/jobsoegning?lang=da?page=319.html;https://www.jobindex.dk/jobsoegning?lang=da?page=319.html;223723;200;True;
337;searchpage;requests;1598066209.3490577;-1.4978086948394775;https://www.jobindex.dk/jobsoegning?lang=da?page=320.html;https://www.jobindex.dk/jobsoegning?lang=da?page=320.html;223723;200;True;
338;searchpage;requests;1598066211.4699852;-1.154456377029419;https://www.jobindex.dk/jobsoegning?lang=da?page=321.html;https://www.jobindex.dk/jobsoegning?lang=da?page=321.html;223722;200;True;
339;searchpage;requests;1598066213.2516763;-1.1765713691711426;https://www.jobindex.dk/jobsoegning?lang=da?page=322.html;https://www.jobindex.dk/jobsoegning?lang=da?page=322.html;223722;200;True;
340;searchpage;requests;1598066215.0474596;-0.9627161026000977;https://www.jobindex.dk/jobsoegning?lang=da?page=323.html;https://www.jobindex.dk/jobsoegning?lang=da?page=323.html;223722;200;True;
341;searchpage;requests;1598066216.609529;-1.0905404090881348;https://www.jobindex.dk/jobsoegning?lang=da?page=324.html;https://www.jobindex.dk/jobsoegning?lang=da?page=324.html;223722;200;True;
342;searchpage;requests;1598066218.3190901;-1.0947082042694092;https://www.jobindex.dk/jobsoegning?lang=da?page=325.html;https://www.jobindex.dk/jobsoegning?lang=da?page=325.html;223722;200;True;
343;searchpage;requests;1598066220.0776718;-1.0019705295562744;https://www.jobindex.dk/jobsoegning?lang=da?page=326.html;https://www.jobindex.dk/jobsoegning?lang=da?page=326.html;223722;200;True;
344;searchpage;requests;1598066221.7185507;-0.942941427230835;https://www.jobindex.dk/jobsoegning?lang=da?page=327.html;https://www.jobindex.dk/jobsoegning?lang=da?page=327.html;223722;200;True;
345;searchpage;requests;1598066223.2646437;-1.382155418395996;https://www.jobindex.dk/jobsoegning?lang=da?page=328.html;https://www.jobindex.dk/jobsoegning?lang=da?page=328.html;223722;200;True;
346;searchpage;requests;1598066225.2827659;-0.9219343662261963;https://www.jobindex.dk/jobsoegning?lang=da?page=329.html;https://www.jobindex.dk/jobsoegning?lang=da?page=329.html;223723;200;True;
347;searchpage;requests;1598066226.815777;-1.3463292121887207;https://www.jobindex.dk/jobsoegning?lang=da?page=330.html;https://www.jobindex.dk/jobsoegning?lang=da?page=330.html;223723;200;True;
348;searchpage;requests;1598066228.8731968;-1.4778335094451904;https://www.jobindex.dk/jobsoegning?lang=da?page=331.html;https://www.jobindex.dk/jobsoegning?lang=da?page=331.html;223723;200;True;
349;searchpage;requests;1598066230.970197;-1.0285866260528564;https://www.jobindex.dk/jobsoegning?lang=da?page=332.html;https://www.jobindex.dk/jobsoegning?lang=da?page=332.html;223722;200;True;
350;searchpage;requests;1598066232.6148672;-1.162416696548462;https://www.jobindex.dk/jobsoegning?lang=da?page=333.html;https://www.jobindex.dk/jobsoegning?lang=da?page=333.html;223722;200;True;
351;searchpage;requests;1598066234.4035692;-0.9786932468414307;https://www.jobindex.dk/jobsoegning?lang=da?page=334.html;https://www.jobindex.dk/jobsoegning?lang=da?page=334.html;223723;200;True;
352;searchpage;requests;1598066235.9934862;-1.0826642513275146;https://www.jobindex.dk/jobsoegning?lang=da?page=335.html;https://www.jobindex.dk/jobsoegning?lang=da?page=335.html;223723;200;True;
353;searchpage;requests;1598066237.7630827;-1.5540761947631836;https://www.jobindex.dk/jobsoegning?lang=da?page=336.html;https://www.jobindex.dk/jobsoegning?lang=da?page=336.html;223722;200;True;
354;searchpage;requests;1598066239.9561539;-1.094538688659668;https://www.jobindex.dk/jobsoegning?lang=da?page=337.html;https://www.jobindex.dk/jobsoegning?lang=da?page=337.html;223722;200;True;
355;searchpage;requests;1598066241.7307057;-1.2653911113739014;https://www.jobindex.dk/jobsoegning?lang=da?page=338.html;https://www.jobindex.dk/jobsoegning?lang=da?page=338.html;223722;200;True;
