215200,5,Ingeniørarbejde inden for elektronik,Civilingeniør - svagstrøm Elektronikingeniør Ingeniør - svagstrøm Radioingeniør Røntgeningeniør Sikringsingeniør Svagstrømsingeniør Ingeniørarbejde inden for elektronik
2153,4,Ingeniørarbejde inden for telekommunikation,
215300,5,Ingeniørarbejde inden for telekommunikation,Telefoningeniør Telegrafingeniør Teleingeniør Ingeniørarbejde inden for telekommunikation
216,3,Arbejde med arkitektur infrastruktur og design,
2161,4,Arbejde med bygningsarkitektur,
216100,5,Arbejde med bygningsarkitektur,Bygningsarkitekt Arbejde med bygningsarkitektur
2162,4,Arbejde med landskabsarkitektur,
216200,5,Arbejde med landskabsarkitektur,Havearkitekt Kgl. haveinspektør Landskabsarkitekt Arbejde med landskabsarkitektur
2163,4,Arbejde med produkt- og tøjdesign,
216300,5,Arbejde med produkt- og tøjdesign,Beklædningsdesigner Designer Grafisk Designer Grafisk Formgiver Industridesigner Kostumearkitekt Kostumier - beklædningsdesigner Kunstformer Kunsthåndværker Modedesigner Modeldesigner Multimediedesigner Møbelarkitekt Møbeldesigner Reklamedesigner Reklametegner Tekstildesigner Tekstiltegner - design Arbejde med produkt- og tøjdesign
2164,4,Arbejde med by- og trafikplanlægning,
216400,5,Arbejde med by- og trafikplanlægning,Byplanarkitekt Byplanlægger Geometriker Landinspektør Surveyor Arbejde med by- og trafikplanlægning
2165,4,Arbejde med kartografi og landinspektørarbejde,
216500,5,Arbejde med kartografi og landinspektørarbejde,Kartograf Arbejde med kartografi og landinspektørarbejde
2166,4,Arbejde med grafisk og multimediedesign,
216600,5,Arbejde med grafisk og multimediedesign,Grafisk designer/formgiver Grafisk konsulent Reklamegrafiker - grafisk design Tegner - grafisk design Arbejde med grafisk og multimediedesign
22,2,Arbejde inden for sundhedsområdet,
221,3,Lægearbejde,
2211,4,Almindeligt lægearbejde,
221100,5,Almindeligt lægearbejde,Adm. overlæge Læge Praktiserende læge Sessionslæge Skolelæge Stabslæge Almindeligt lægearbejde
2212,4,Speciallægearbejde,
221200,5,Speciallægearbejde,Bedriftslæge Børnelæge Centerpsykiater Fodlæge Første Reservelæge Halslæge Hudspecialist Idrætsfysiolog Kirurg Lægekonsulent Narkoselæge Narkoseoverlæge Nervelæge Overkirurg Overlæge Patolog Psykiater Radiolog Reservelæge Speciallæge Toksikolog Øjenlæge Ørelæge Speciallægearbejde
222,3,Sygeplejerske- og jordemoderarbejde,
2221,4,Sygeplejerskearbejde,
222110,5,Sygeplejerskearbejde basisfunktioner,Børnesygeplejerske Centersygeplejerske Distriktssygeplejerske Hjemmesygeplejerske Ledende hjemmesygeplejerske Ledende sygeplejerske Medic (Offshore) Natsygeplejerske Sygeplejerske Sygeplejevikar Sygeplejerskearbejde basisfunktioner
222120,5,Sygeplejerskearbejde specialfunktioner,Anæstesisygeplejerske Bedriftssundhedsplejerske Narkosesygeplejerske Operationssygeplejerske Sygeplejerskearbejde specialfunktioner
222130,5,Sundhedsplejerskearbejde,Ledende sundhedsplejerske Skolesundhedsplejerske Sundhedsplejerske Sundhedsplejerskearbejde
2222,4,Jordemoderarbejde,
222200,5,Jordemoderarbejde,Distriktsjordemoder Jordemoder Overjordemoder Jordemoderarbejde
223,3,Arbejde inden for naturmedicin og alternativ behandling,
2230,4,Arbejde inden for naturmedicin og alternativ behandling,
223000,5,Arbejde inden for naturmedicin og alternativ behandling,Naturlæge Arbejde inden for naturmedicin og alternativ behandling
224,3,Paramedicinsk arbejde,
2240,4,Paramedicinsk arbejde,
224000,5,Paramedicinsk arbejde,Paramedicinsk arbejde
225,3,Dyrlægearbejde,
2250,4,Dyrlægearbejde,
225000,5,Dyrlægearbejde,Dyrlæge Overdyrlæge Dyrlægearbejde
226,3,Andet sundhedsarbejde,
2261,4,Tandlægearbejde,
226100,5,Tandlægearbejde,Børnetandlæge Cheftandlæge Dentist Distriktstandlæge Skoletandlæge Specialtandlæge Tandlæge Tandlægearbejde
2262,4,Farmaceutarbejde,
226200,5,Farmaceutarbejde,Apoteker Farmaceut Lic. Pharm. Sygehusapoteker Farmaceutarbejde
2263,4,Arbejde inden for arbejdsmiljø og hygiejne,
226300,5,Arbejde inden for arbejdsmiljø og hygiejne,Arbejde inden for arbejdsmiljø og hygiejne
2264,4,Fysioterapeut- og afspændingspædagogarbejde,
226410,5,Fysioterapeutarbejde,Bevægelsespædagog Fysioterapeut Fysioterapeutarbejde
226420,5,Afspændingspædagogarbejde ,Afspændingskonsulent Afspændingspædagog Eutonipædagog Afspændingspædagogarbejde
2265,4,Kost- og ernæringsarbejde,
226510,5,Kost- og ernæringsarbejde basisfunktioner,Diætist Husholdningskonsulent Kostfaglig eneansvarlig Kost- og ernæringsarbejde basisfunktioner
226520,5,Kost- og ernæringsarbejde specialfunktioner,Cheføkonoma Diætøkonoma Ernæringskonsulent Klinisk Diætist Kostkonsulent Kostvejleder Økonoma Kost- og ernæringsarbejde specialfunktioner
2266,4,Arbejde inden for audiologi og logopædi,
226610,5,Arbejde inden for audiologi,Arbejde inden for audiologi
226620,5,Arbejde inden for logopædi,Arbejde inden for logopædi
2267,4,Optiker/optometristarbejde,
226700,5,Optiker/optometristarbejde,Optiker Optiker/optometristarbejde
2269,4,Sundhedsarbejde ikke klassificeret andetsteds,
226910,5,Ergoterapeutarbejde,Børneergoterapeut Ergonom Ergoterapeut Zoneterapeut Zoneterapeut og akupunktør Ergoterapeutarbejde Beskæftigelsesterapeut
226920,5,Fodterapeutarbejde,Fodplejer Fodplejespecialist Fodterapeut Lægeeksamineret fodplejer Statsaut. fodterapeut Fodterapeutarbejde
226930,5,Kiropraktikerarbejde,Kiropraktor Kiropraktikerarbejde
226990,5,Sundhedsarbejde ikke klassificeret andetsteds,Gestaltterapeut Sundhedsarbejde ikke klassificeret andetsteds
23,2,Undervisning og pædagogisk arbejde,
231,3,Undervisning og forskning ved universiteter og højere læreanstalter,
2310,4,Undervisning og forskning på universiteter og højere læreanstalter,
231010,5,Undervisning og forskning ved lange videregående uddannelser,Adjunkt Amanuensis Docent Gæsteprofessor Konservatorielærer Professor Universitetsadjunkt Universitetslektor Universitetslærer Undervisning og forskning ved lange videregående uddannelser
231020,5,Undervisning og forskning ved mellemlange videregående uddannelser,Seminarieadjunkt Seminarielærer Undervisning og forskning ved mellemlange videregående uddannelser
231030,5,Undervisning og forskning ved korte videregående uddannelser,Undervisning og forskning ved korte videregående uddannelser
232,3,Undervisning ved erhvervsuddannelser,
2320,4,Undervisning ved erhvervsuddannelser,
232010,5,Undervisning ved erhvervsuddannelser for unge,Undervisning ved erhvervsuddannelser for unge
232020,5,Undervisning ved arbejdsmarkedsuddannelser,Lærer - erhvervsskole Undervisning ved arbejdsmarkedsuddannelser
232030,5,Undervisning ved voksenerhvervsuddannelser,Undervisning ved voksenerhvervsuddannelser
233,3,Almen undervisning efter grundskoleniveau,
2330,4,Almen undervisning efter grundskoleniveau,
233010,5,Undervisning på gymnasialt niveau,Gymnasielærer Handelsskolelærer Undervisning på gymnasialt niveau
233020,5,Undervisning ved øvrige almene uddannelser efter grundskoleniveau,Undervisning ved øvrige almene uddannelser efter grundskoleniveau
234,3,Undervisning og pædagogisk arbejde,
2341,4,Undervisning på grundskoleniveau (inkl. 10. klasse),
234110,5,Undervisning på grundskoleniveau unge og voksne,Undervisning på grundskoleniveau unge og voksne
234120,5,Undervisning på grundskoleniveau  (børn 1.-10. klasse),Efterskolelærer Folkeskolelærer Husholdningslærer Skolelærer Sløjdlærer Timelærer Ungdomsskolelærer Undervisning på grundskoleniveau (børn 1.-10. klasse)
234130,5,Undervisning på grundskoleniveau børnehaveklasseniveau,Børnehaveklasseleder Undervisning på grundskoleniveau børnehaveklasseniveau
2342,4,Undervisning før grundskoleniveau,
234200,5,Undervisning før grundskoleniveau,Undervisning før grundskoleniveau
2343,4,Pædagogisk arbejde,
234310,5,Pædagogisk arbejde med unge og voksne,Ungdomspædagog Pædagogisk arbejde med unge og voksne
234320,5,Pædagogisk arbejde fritidsklubber/legepladser,Fritidspædagog Klubbestyrer Klubpædagog Småbørnspædagog Spædbørnspædagog Pædagogisk arbejde fritidsklubber/legepladser
234330,5,Pædagogisk arbejde i skolefritidsordninger/fritidshjem og på skoler,Fritidshjemspædagog Pædagogisk arbejde i skolefritidsordninger/fritidshjem og på skoler
234340,5,Pædagogisk arbejde førskolebørn,Børnehavepædagog Børnepædagog Pædagogisk arbejde førskolebørn
234390,5,Andet pædagogisk arbejde,Andet pædagogisk arbejde
235,3,Andet undervisnings- og pædagogisk arbejde,
2351,4,Forskning udvikling og rådgivning inden for undervisningsmetoder,
235100,5,Forskning udvikling og rådgivning inden for undervisningsmetoder,Forskning udvikling og rådgivning inden for undervisningsmetoder
2352,4,Specialundervisning,
235210,5,Specialundervisning unge og voksne,Specialundervisning unge og voksne
235220,5,Specialundervisning på grundskoleniveau (1.-10. klasse),Specialundervisning på grundskoleniveau (1.-10. klasse)
235230,5,Specialundervisning på børnehaveklasseniveau,Specialundervisning på børnehaveklasseniveau
2353,4,Anden sprogundervisning,
235300,5,Anden sprogundervisning,Anden sprogundervisning
2354,4,Anden musik- og sangundervisning,
235400,5,Anden musik- og sangundervisning,Musikskolelærer Rytmikpædagog Anden musik- og sangundervisning
2355,4,Anden undervisning inden for kreative fag,
235500,5,Anden undervisning inden for kreative fag,Anden undervisning inden for kreative fag Balletpædagog
2356,4,Anden undervisning inden for informationsteknologi,
235600,5,Anden undervisning inden for informationsteknologi,Anden undervisning inden for informationsteknologi
2357,4,Specialpædagogisk arbejde,
235710,5,Specialpædagogisk arbejde ældre og handicappede,Socialpædagog Specialpædagogisk arbejde ældre og handicappede
235720,5,Specialpædagogisk arbejde aktivering mv.,Socialpædagog Specialpædagogisk arbejde aktivering mv.
235730,5,Specialpædagogisk arbejde rådgivning af voksne,Socialpædagog Specialpædagogisk arbejde rådgivning af voksne
235740,5,Specialpædagogisk arbejde kontakt med og ledsagning af voksne,Socialpædagog Specialpædagogisk arbejde kontakt med og ledsagning af voksne
235750,5,Specialpædagogisk arbejde børn og unge,Audiologipædagog Socialpædagog Specialpædagogisk arbejde børn og unge
235760,5,Specialpædagogisk arbejde førskolebørn,Socialpædagog Specialpædagogisk arbejde førskolebørn
235790,5,Andet specialpædagogisk arbejde,Socialpædagog Andet specialpædagogisk arbejde
2359,4,Undervisnings- og pædagogisk arbejde ikke klassificeret andetsteds,
235910,5,Undervisningsarbejde ikke klassificeret andetsteds (ekskl. medhjælp),Undervisningsarbejde ikke klassificeret andetsteds (ekskl. medhjælp)
235920,5,Pædagogisk arbejde ikke klassificeret andetsteds (ekskl. medhjælp),Pædagogisk arbejde ikke klassificeret andetsteds (ekskl. medhjælp)
