"55;""134100"";5;Ledelse af hovedaktiviteten inden for pædagogisk arbejde med og omsorg for børn;;Børnehavebestyrer", Børnehaveforpagter, Børnehjemsleder, Fritidscenterleder, Fritidshjemsbestyrer, Fritidshjemsleder, Klubhusbestyrer, Klubleder, Vuggestueleder, Ledelse af hovedaktiviteten inden for pædagogisk arbejde med og omsorg for børn;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"56;""1342"";4;Ledelse af hovedaktiviteten inden for sundhedsområdet;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"57;""134200"";5;Ledelse af hovedaktiviteten inden for sundhedsområdet;;Hospitalsdirektør", Hospitalsforstander, Sygehusadministrator, Sygehuschef, Sygehusdirektør, Sygehusforstander, Sygehusforvalter, Ledelse af hovedaktiviteten inden for sundhedsområdet;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"58;""1343"";4;Ledelse af hovedaktiviteten inden for ældreplejen;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"59;""134300"";5;Ledelse af hovedaktiviteten inden for ældreplejen;;Hvilehjemsbestyrer", Hvilehjemsejer, Hvilehjemsforstander, Plejehjemsbestyrer, Plejehjemsforstander, Plejehjemsleder, Ledelse af hovedaktiviteten inden for ældreplejen;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60;""1344"";4;Ledelse af hovedaktiviteten inden for det sociale område;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"61;""134400"";5;Ledelse af hovedaktiviteten inden for det sociale område;;Asylbestyrer", Asylleder, Orlogshjemsleder, Socialcenterleder, Ledelse af hovedaktiviteten inden for det sociale område;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"62;""1345"";4;Ledelse af hovedaktiviteten inden for undervisningsområdet;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"63;""134500"";5;Ledelse af hovedaktiviteten inden for undervisningsområdet;;Aftenskoleinspektør", Aftenskoleleder, Efterskoleforstander, Friskoleleder, Handelsskoleinspektør, Handelsskoleforstander, Handelsskoleinspektør, Højskoleforstander, Højskoleleder, Kostskoleforstander, Kostskoleinspektør, Musikskoleinspektør, Musikskoleleder, Naturskoleleder, Navigationsforstander, Rektor, Seminarieforstander, Seminarierektor, Skolebestyrer, Skoleforstander, Skoleinspektør, Skoleleder, Undervisningschef, Ungdomsskoleforstander, Ungdomsskoleinspektør, Ungdomsskoleleder, Vicerektor, Ledelse af hovedaktiviteten inden for undervisningsområdet;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"64;""1346"";4;Ledelse af hovedaktiviteten inden for finans-", pensions og forsikringsområdet;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"65;""134600"";5;Ledelse af hovedaktiviteten inden for finans-", pensions og forsikringsområdet;;Bankbestyrer, Bankdirektør, Bankfilialchef, Børschef, Filialdirektør - finansiel sektor, Filialdirektør, Fondschef, Kreditchef, Kreditdirektør, Kreditforeningschef, Kreditforeningsdirektør, Sparekassedirektør, Ledelse af hovedaktiviteten inden for finans-, pensions- og forsikringsområdet;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"66;""1349"";4;Anden ledelse af hovedaktiviteten inden for servicefag;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"67;""134910"";5;Ledelse af hovedaktiviteten inden for politi og retsvæsen;;Politiadvokat", Politimester, Vicepolitichef, Vicepolitidirektør, Vicepolitimester, Ledelse af hovedaktiviteten inden for politi og retsvæsen;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"68;""134990"";5;Anden ledelse af hovedaktiviteten inden for servicefag i øvrigt;;Banechef", Beredskabsmester, Brandmester, Flyvechef, Flyvepladsleder, Godsbureauleder, Godssalgschef, Haldirektør, Havnebestyrer, Havnechef, Ht Chef, Indenrigschef, Kirkegårdsleder, Kolonnechef (Redningsberedskab), Luftfartschef, Luftfragtchef, Lufthavnschef, Overfartsleder, Overpostmester, Postmester, Reder, Rederichef, Sektionschef (Redningsberedskab), Skibsejer, Sporvejsdirektør, Stationschef, Stationsforstander, Stationsleder, Terminalchef, Trafikdirektør, Øldepotbestyrer, Anden ledelse af hovedaktiviteten inden for servicefag i øvrigt;,,,,,,,,,,,,,,,,,,,,,,,,,,,
"69;""14"";2;Ledelse af hovedaktiviteten inden for hotel og restauration", detail- og engroshandel og andre serviceområder;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
